Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
5779,Hydrocodone,HMDB0015091,5284569,5779,C08024,NA,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,1
5835,Hypericin,HMDB0034271,5281051,5835,C07606,NA,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C4=C3C3=C2C1=C1C(C)=CC(O)=C2C(=O)C5=C(O)C=C(O)C4=C5C3=C12,1
9321,NA,NA,NA,NA,NA,NA,NA,0
9329,Sulfadoxine,HMDB0015413,17134,9329,C07630,NA,COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC,1
9331,Sulfamethizole,HMDB0014715,5328,9331,C08050,NA,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,1
10577,gamma-Terpinene,HMDB0005806,7461,10577,C09900,NA,CC(C)C1=CCC(C)=CC1,1
10589,M-toluic Acid,HMDB0062810,7418,10589,C07211,NA,CC1=CC=CC(=C1)C(O)=O,1
6498,Lipoxin A4,HMDB0004385,5280914,6498,C06314,7058,CCCCC[C@H](O)\C=C\C=C/C=C/C=C/[C@@H](O)[C@@H](O)CCCC(O)=O,1
6503,NA,NA,NA,NA,NA,NA,NA,0
6541,Losartan,HMDB0014816,3961,6541,C07072,NA,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,1
6605,NA,NA,NA,NA,NA,NA,NA,0
6695,NA,NA,NA,NA,NA,NA,NA,0
6704,Mebendazole,HMDB0014781,4030,6704,NA,NA,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,1
6714,NA,NA,NA,NA,NA,NA,NA,0
7565,Nifedipine,HMDB0015247,4485,7565,C07266,NA,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,1
5601,Haematoxylin,NA,442514,5601,C09931,NA,Oc1cc2c(cc1O)1c3ccc(O)c(O)c3OC1(O)C2,1
